Kayser - 36 Studies,5,36
Paganini - 24 Caprices,10,24
Kreutzer - 42 Etudes,7,42
Dont - Etudes and Caprices Op. 35,7,24
Gavinées – 24 Matinées,8,24
Rode – 24 Caprices,7,24
Fiorillo – 36 Études or Caprices,7,36
Wohlfahrt – 60 Studies Op. 45,4,60
Barber – Violin Concerto,6,3
Vivaldi – Concerto No. 1 in E major “Spring”,6,3
Vivaldi – Concerto No. 2 in G minor “Summer”,6,3
Vivaldi – Concerto No. 3 in F major “Autumn”,6,3
Vivaldi – Concerto No. 4 in F minor “Winter”,6,3
Mozart – Violin Concerto No. 5,7,3
